post,tags
0,[u'#2016bestnine']
1,"[u'#christmas', u'#xmas', u'#merrychristmas', u'#merryxmas', u'#winter', u'#xmastree', u'#christmastree', u'#happy', u'#happiness', u'#family', u'#snow', u'#smile', u'#gifts', u'#love', u'#fun', u'#bestoftheday', u'#holidays', u'#holiday', u'#present', u'#presents', u'#pretty', u'#instacool', u'#moments', u'#santa', u'#santaclaus', u'#party', u'#hohoho', u'#']"
2,"[u'#Repost', u'#christmas', u'#xmas', u'#merrychristmas', u'#merryxmas', u'#winter', u'#xmastree', u'#christmastree', u'#happy', u'#happiness', u'#family', u'#snow', u'#smile', u'#gifts', u'#love', u'#fun', u'#bestoftheday', u'#holidays', u'#holiday', u'#present', u'#presents', u'#pretty', u'#instacool', u'#moments', u'#santa', u'#santaclaus', u'#party', u'#hohoho', u'#natale']"
3,"[u'#christmas', u'#xmas', u'#merrychristmas', u'#merryxmas', u'#winter', u'#xmastree', u'#christmastree', u'#happy', u'#happiness', u'#family', u'#snow', u'#smile', u'#gifts', u'#love', u'#fun', u'#bestoftheday', u'#holidays', u'#holiday', u'#present', u'#presents', u'#pretty', u'#instacool', u'#moments', u'#santa', u'#santaclaus', u'#party', u'#hohoho', u'#', u'#natale']"
4,"[u'#christmas', u'#xmas', u'#merrychristmas', u'#merryxmas', u'#winter', u'#xmastree', u'#christmastree', u'#happy', u'#happiness', u'#family', u'#snow', u'#smile', u'#gifts', u'#love', u'#fun', u'#bestoftheday', u'#holidays', u'#holiday', u'#toptags', u'#present', u'#presents', u'#pretty', u'#instacool', u'#moments', u'#santa', u'#santaclaus', u'#party', u'#hohoho', u'#']"
5,"[u'#Repost', u'#christmas', u'#christmastree', u'#christmasaddicted', u'#christmas', u'#xmas', u'#merrychristmas', u'#merryxmas', u'#winter', u'#xmastree', u'#christmastree', u'#happy', u'#happiness', u'#family', u'#snow', u'#smile', u'#gifts', u'#love', u'#fun', u'#bestoftheday', u'#holidays', u'#holiday', u'#present', u'#presents', u'#pretty', u'#instacool', u'#moments', u'#santa', u'#santaclaus', u'#party', u'#hohoho', u'#natale']"
6,"[u'#Repost', u'#HRC2016', u'#christmasaddicted', u'#christmastreedecoratedbyme']"
7,"[u'#Repost', u'#dog', u'#dogs', u'#dogoftheday', u'#dogofinstagram', u'#dogstagram', u'#dogoftheday', u'#christmas', u'#xmas', u'#merrychristmas', u'#merryxmas', u'#winter', u'#christmasaddicted']"
8,"[u'#Repost', u'#christmasaddicted', u'#jelka', u'#ukrasizajelku', u'#ukrasi', u'#fashiondiaries', u'#fashionkilla', u'#fashionista', u'#fashionblogger', u'#fashionable', u'#body', u'#bblogger', u'#novagodina2017', u'#dekoracija', u'#zima', u'#luxury', u'#lookoftheday', u'#lotd', u'#belgrade', u'#italian', u'#russian', u'#model', u'#fitnessmodel', u'#mensstyle', u'#bozic', u'#novogodisnjajelka', u'#mrporter', u'#dapper', u'#gentleman', u'#gq']"
9,"[u'#Repost', u'#tbt', u'#lights', u'#christmas', u'#tree', u'#decorations']"
